,region_name,tree_type_name,forest_type_name,land_loss,unit_name,uncertainty,creation_date,modified_date,validity_date,source_name,region_id,forest_type_id,tree_type_id,unit_id,source_id
14189,Centre,Coniferous,Open and closed forest,-4910.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,6,3,2,26,2
14190,Centre,Deciduous,Closed forest,-5170.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,6,2,1,26,2
14191,Centre,Deciduous,Open and closed forest,-5130.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,6,3,1,26,2
14192,Centre,Mixed,Closed forest,-7460.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,6,2,3,26,2
14193,Centre,Mixed,Open and closed forest,-7380.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,6,3,3,26,2
14194,Centre,Total,Closed forest,-5280.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,6,2,4,26,2
14195,Centre,Total,Open and closed forest,-5140.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,6,3,4,26,2
14196,Grand Est,Coniferous,Closed forest,-1600.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,2,2,26,2
14197,Grand Est,Coniferous,Open and closed forest,-1600.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,3,2,26,2
14198,Grand Est,Deciduous,Closed forest,-5060.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,2,1,26,2
14199,Grand Est,Deciduous,Open and closed forest,-5060.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,3,1,26,2
14200,Grand Est,Mixed,Closed forest,-6600.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,2,3,26,2
14201,Grand Est,Mixed,Open and closed forest,-6600.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,3,3,26,2
14202,Grand Est,Total,Closed forest,-4920.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,2,4,26,2
14203,Grand Est,Total,Open and closed forest,-4830.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,3,4,26,2
14204,Corse,Coniferous,Closed forest,-6190.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,7,2,2,26,2
14205,Corse,Coniferous,Open and closed forest,-6050.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,7,3,2,26,2
14206,Corse,Deciduous,Closed forest,-4830.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,7,2,1,26,2
14207,Corse,Deciduous,Open and closed forest,-4230.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,7,3,1,26,2
14208,Corse,Mixed,Closed forest,-5940.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,7,2,3,26,2
14209,Corse,Mixed,Open and closed forest,-5800.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,7,3,3,26,2
14210,Corse,Total,Closed forest,-5140.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,7,2,4,26,2
14211,Corse,Total,Open and closed forest,-4350.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,7,3,4,26,2
14221,Bourgogne-Franche-Comté Dijon,Coniferous,Closed forest,-2170.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,4,2,2,26,2
14222,Bourgogne-Franche-Comté Dijon,Coniferous,Open and closed forest,-2150.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,4,3,2,26,2
